episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
432,207.0,5.8815,0.984,0.0077,0.114702
433,181.0,5.22,0.972,0.0163,0.114128
434,192.0,2.118,0.982,0.0127,0.113558
435,182.5,4.404,0.961,0.012,0.11299
436,184.0,2.421,0.959,0.0122,0.112425
437,161.0,4.08,0.955,0.0245,0.111863
438,214.0,5.3025,0.983,0.0105,0.111304
439,170.0,3.3735,0.968,0.0138,0.110747
440,156.0,4.5585,0.964,0.0195,0.110193
441,137.5,5.025,0.928,0.0302,0.109642
442,139.5,2.8395,0.929,0.0252,0.109094
443,188.5,5.4825,0.993,0.0112,0.108549
444,164.0,2.3865,0.978,0.012,0.108006
445,215.0,6.5865,0.979,0.0055,0.107466
446,192.0,5.6835,0.977,0.0123,0.106929
447,143.5,5.268,0.94,0.0163,0.106394
448,135.5,4.197,0.962,0.0225,0.105862
449,184.5,1.3125,0.961,0.0085,0.105333
450,185.5,5.436,0.984,0.0123,0.104806
451,221.0,7.965,0.982,0.0095,0.104282
452,208.5,2.3025,0.973,0.0077,0.103761
453,131.5,4.3755,0.958,0.029,0.103242
454,132.5,2.6865,0.958,0.0275,0.102726
455,154.0,7.4505,0.964,0.0242,0.102212
456,191.5,5.0625,0.959,0.0102,0.101701
457,118.0,2.172,0.966,0.0252,0.101192
458,176.0,2.8155,0.975,0.0207,0.100686
459,160.5,2.196,0.968,0.0075,0.100183
460,182.0,5.052,0.974,0.0158,0.099682
461,177.0,6.6615,0.963,0.0198,0.099184
462,178.0,4.071,0.969,0.0127,0.098688
463,170.5,2.5635,0.954,0.0182,0.098194
464,221.5,5.121,0.985,0.0043,0.097703
465,174.0,3.8115,0.984,0.0085,0.097215
466,180.5,3.7185,0.972,0.0142,0.096729
467,192.0,3.168,0.975,0.015,0.096245
468,159.0,5.475,0.986,0.0185,0.095764
469,182.0,5.1105,0.969,0.0098,0.095285
470,165.5,5.3325,0.971,0.0125,0.094809
471,163.5,2.469,0.968,0.0152,0.094335
472,167.5,3.1845,0.976,0.0105,0.093863
473,154.0,3.987,0.971,0.0132,0.093394
474,190.0,7.9335,0.97,0.0158,0.092927
475,147.5,3.4875,0.968,0.0075,0.092462
476,188.0,3.42,0.954,0.0195,0.092
477,160.5,2.379,0.959,0.0118,0.09154
478,203.0,6.3555,0.977,0.0093,0.091082
479,202.5,5.334,0.977,0.01,0.090627
480,215.5,6.606,0.985,0.011,0.090173
481,146.0,3.183,0.962,0.026,0.089723
482,207.0,4.7385,0.984,0.0075,0.089274
483,154.0,5.439,0.95,0.0185,0.088828
484,173.0,2.397,0.956,0.0203,0.088383
485,142.5,4.257,0.949,0.0272,0.087942
486,210.5,4.4685,0.976,0.0072,0.087502
487,205.0,5.8995,0.985,0.0043,0.087064
488,171.5,2.7705,0.966,0.0152,0.086629
489,180.5,4.764,0.96,0.0085,0.086196
490,215.5,5.742,0.983,0.0073,0.085765
491,219.5,3.3285,0.977,0.0053,0.085336
492,189.5,4.1385,0.969,0.0128,0.084909
493,193.0,2.832,0.97,0.005,0.084485
494,176.0,3.612,0.935,0.0213,0.084062
495,163.5,3.372,0.972,0.017,0.083642
496,160.0,2.8635,0.962,0.017,0.083224
497,159.0,4.164,0.966,0.0167,0.082808
498,171.0,4.98,0.972,0.0123,0.082394
499,171.5,3.8835,0.952,0.0165,0.081982
500,179.0,4.713,0.976,0.015,0.081572
